id,x,y,fluorescence,frame
7,332.7836257309942,131.41520467836258,63.561403508771924,2
9,114.9431818181818,176.9375,68.46022727272727,2
16,125.5317919075144,496.9710982658958,69.71098265895954,2
2,268.1981981981982,36.43693693693694,107.35585585585585,3
7,335.4829545454546,134.1647727272727,80.55113636363636,3
9,114.9431818181818,176.9375,87.45454545454545,3
16,125.5317919075144,496.9710982658958,89.01734104046244,3
22,165.05804749340368,190.62269129287603,119.4089709762533,3
2,268.1981981981982,36.43693693693694,53.67117117117117,4
7,339.5578947368421,132.7631578947368,40.28947368421053,4
9,114.9431818181818,176.9375,43.73295454545455,4
16,125.5317919075144,496.9710982658958,44.48554913294798,4
22,167.9785522788204,194.5174262734585,58.847184986595174,4
38,270.53968253968253,257.6190476190476,57.714285714285715,4
42,320.0652173913044,475.3532608695652,37.76086956521739,4
2,268.1981981981982,36.43693693693694,43.35585585585586,5
9,114.9431818181818,176.9375,35.27840909090909,5
16,125.5317919075144,496.9710982658958,35.94219653179191,5
22,172.60054347826093,197.6141304347826,46.98097826086956,5
38,270.8338658146965,262.8530351437699,46.01597444089457,5
42,319.41871921182263,468.9162561576355,30.97044334975369,5
54,3.7788461538461537,505.91346153846155,78.56730769230771,5
7,340.0512767734085,135.64275613628692,32.0,5
2,268.1981981981982,36.43693693693694,69.62612612612612,6
9,114.9431818181818,176.9375,56.76704545454545,6
16,125.5317919075144,496.9710982658958,57.8092485549133,6
22,177.47696476964768,200.7940379403794,77.1490514905149,6
42,318.6387434554974,463.3979057591623,48.806282722513096,6
62,1.0,238.0,40.333333333333336,6
7,342.0141304712917,137.3092943494001,52.227027027027034,6
38,272.3821140499247,264.534867814133,75.21904761904761,6
54,2.180546115441767,505.8172749764713,108.28205128205127,6
2,268.1981981981982,36.43693693693694,82.54504504504506,7
9,114.9431818181818,176.9375,67.2215909090909,7
16,125.5317919075144,496.9710982658958,68.47976878612718,7
22,177.978436657682,205.2533692722372,89.40161725067385,7
42,318.42473118279565,457.5698924731183,56.553763440860216,7
71,329.032967032967,142.989010989011,62.75274725274726,7
75,183.76041666666669,311.3125,52.78125,7
38,273.6250297753436,267.35927058546343,87.55806451612905,7
54,-0.2165544669268273,505.67301616509513,114.75637393767704,7
62,-0.2636237231467506,238.65714062217097,73.92492492492492,7
2,268.1981981981982,36.43693693693694,109.77477477477476,8
9,114.9431818181818,176.9375,89.43181818181819,8
16,125.5317919075144,496.9710982658958,91.01156069364158,8
22,176.65263157894742,210.84473684210533,121.02368421052631,8
42,318.74853801169587,451.9766081871345,75.46783625730994,8
71,327.06,146.52,86.21,8
75,181.79166666666669,315.6770833333333,70.19791666666667,8
79,168.61049284578698,71.54213036565976,102.02702702702706,8
62,-2.158664672100747,239.6426463272506,98.34131736526945,8
2,268.1981981981982,36.43693693693694,66.66216216216216,9
9,114.8950276243094,176.80110497237567,55.348066298342545,9
16,125.5317919075144,496.9710982658958,55.24277456647399,9
42,319.77906976744185,445.94767441860466,45.9593023255814,9
71,328.0,150.0,49.67065868263472,9
75,181.8125,317.4732142857143,43.20535714285715,9
79,169.6102719033233,70.23413897280967,59.268882175226594,9
22,180.8407222054385,212.5737847951218,74.50913838120105,9
2,268.1981981981982,36.43693693693694,72.67117117117117,10
16,125.5317919075144,496.9710982658958,60.27745664739884,10
42,321.0571428571429,440.4214285714286,47.42857142857143,10
75,179.0,319.0,47.121495327102814,10
98,179.6595174262735,220.72386058981232,79.54423592493299,10
103,158.5125,506.575,60.15,10
9,114.92290301707442,176.8800610229388,65.1109022556391,10
22,182.8909740774561,215.9579071882776,67.09302325581395,10
71,325.77122756345386,150.363062503252,56.40776699029127,10
79,169.7568370031946,69.84950124652663,62.05230769230769,10
2,268.1981981981982,36.43693693693694,87.05405405405405,11
16,125.5317919075144,496.9710982658958,72.17341040462428,11
42,322.87719298245617,435.07602339181284,59.47368421052632,11
98,185.12702702702703,222.4,94.67297297297294,11
103,156.6610169491526,503.97175141242934,58.293785310734464,11
109,119.77110694183871,167.9924953095685,77.46153846153847,11
111,4.926086956521738,218.08695652173907,96.52173913043478,11
9,114.9198639949115,176.87145310162342,80.46060606060605,11
71,324.4937139357864,152.1265408140011,64.91758241758242,11
75,180.19625203599418,321.235560416735,56.13445378151261,11
79,170.17308866887717,69.15176968117319,73.11486486486487,11
2,268.1981981981982,36.43693693693694,109.77477477477476,12
42,324.8978494623656,429.505376344086,76.79032258064517,12
98,190.3062827225131,224.6256544502618,120.57329842931937,12
103,154.3742331288344,498.3374233128835,73.06134969325153,12
109,121.7,171.33,103.64399999999999,12
111,7.967213114754099,214.73442622950816,104.27540983606558,12
120,338.01104972375686,156.06629834254142,82.97790055248619,12
16,125.5317919075144,496.9710982658958,99.7952755905512,12
75,179.7969305242218,323.37283045880434,70.98347107438016,12
2,268.1981981981982,36.43693693693694,107.35585585585585,13
42,326.8843930635838,423.93641618497116,74.02312138728323,13
98,192.5518134715026,228.53367875647666,119.65544041450777,13
103,151.9509202453988,493.3865030674847,72.50920245398773,13
109,122.79833679833679,175.9272349272349,107.20166320166321,13
120,340.031914893617,154.031914893617,83.06914893617021,13
136,119.26303317535542,501.3483412322275,108.8436018957346,13
16,125.5317919075144,496.9710982658958,69.05172413793103,13
111,9.366708182612914,214.42271024758116,91.46474358974359,13
2,268.1527272727272,36.48,95.69090909090907,14
42,328.5,418.5,58.8936170212766,14
103,149.9137931034483,488.15862068965515,60.28275862068966,14
136,121.9489361702128,499.12978723404257,96.15531914893616,14
144,257.853470437018,244.23136246786632,103.68123393316195,14
98,195.83064555740484,230.00526562007198,103.8771551724138,14
109,125.44471917235941,176.67271860851952,87.95502645502646,14
111,11.34125114132431,213.18043489612882,78.0677966101695,14
120,341.9589254499327,154.56591677050582,65.00848896434636,14
2,268.1981981981982,36.43693693693694,112.36036036036036,15
42,329.86904761904765,412.8214285714286,75.21428571428571,15
103,147.5,483.0,74.85227272727273,15
