,x,y,frame,ctcf,mean_gray_value
0,14.5,2.230769230769231,0.0,3386.799819946289,65.53846153846153
1,36.43693693693694,268.1981981981982,0.0,23742.491539001465,107.35585585585585
2,65.2467105263158,115.64144736842105,0.0,27960.060485839844,92.38157894736842
3,108.05389221556887,260.79640718562877,0.0,11879.914806365967,71.54491017964072
4,115.0304054054054,199.77702702702703,0.0,26183.322052001953,88.86486486486487
5,116.38023952095809,74.30538922155688,0.0,31973.829612731934,96.1377245508982
6,124.67021276595744,334.97872340425533,0.0,14842.35319519043,79.3563829787234
7,176.10554089709763,164.16358839050133,0.0,45530.48330307007,120.54089709762533
8,176.9375,114.94318181818181,0.0,15320.245544433594,87.45454545454545
9,206.96988707653702,19.326223337515685,0.0,101059.06647109985,127.20702634880803
10,214.9558823529412,246.16176470588235,0.0,33808.38343811035,99.84411764705882
11,249.01257861635222,273.7704402515723,0.0,36902.35274505615,116.45283018867924
12,299.13761467889907,170.57798165137615,0.0,7455.56116104126,68.80733944954129
13,313.03973509933775,187.33112582781456,0.0,10564.437938690186,70.37086092715232
14,357.8951048951049,412.5034965034965,0.0,25344.39900970459,89.02447552447552
15,498.0199004975124,317.5323383084577,0.0,15148.053150177002,75.77114427860697
16,496.97109826589593,125.53179190751445,0.0,15329.468631744385,89.01734104046243
17,11.863636363636363,7.045454545454546,1.0,4862.385437011719,55.60227272727273
18,36.43693693693694,268.1981981981982,1.0,20357.767807006836,92.04954954954955
19,66.51973684210526,122.04605263157895,1.0,23610.240600585938,78.01315789473684
20,109.52614379084967,197.1013071895425,1.0,23391.544815063477,76.79084967320262
21,112.0,265.5,1.0,9453.728729248047,60.94871794871795
22,122.9939393939394,76.07878787878788,1.0,26770.195388793945,81.46969696969697
23,127.5929648241206,331.7035175879397,1.0,14011.769340515137,70.75879396984925
24,180.14473684210526,167.3578947368421,1.0,38382.80075073242,101.35526315789474
25,176.9375,114.94318181818181,1.0,13130.770874023438,74.95454545454545
26,209.77826725403818,16.08663729809104,1.0,69353.08502960205,102.18795888399413
27,208.95294117647057,241.09411764705882,1.0,28357.71646118164,83.75294117647059
