track_id,vcl,vsl,vap_mean,vap_std,alh_mean,alh_std,lin,wob,str,bcf_mean,bcf_std,mad,fluo
2,2.861741082259528,0.0,4.567774729886359e-15,11.643197195378255,0.04926391761102315,0.2998029280939788,0.0,1.5961523417344968e-15,0.0,0.681818181818182,0.0,1.3386534427572188,115.09009009009009
7,51.22063201933097,41.06935059479377,42.27920397547838,10.564643534066384,0.6325204169837223,0.587170759297157,0.8018126480613115,0.8254330785985218,0.9713841967936218,,,1.185154425707424,80.55113636363636
9,0.39584466073595603,0.11673704623868603,0.19574712934724425,0.5411757324072844,0.005192541425125918,0.015239091051055864,0.2949062039175873,0.4945049125667386,0.5963665808431916,,,1.5283727118032608,89.43181818181819
16,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,99.7952755905512
22,74.94591049964659,66.39007300382889,69.31688865952151,10.557584510765231,0.6228879094849139,0.558411208568763,0.8858398351720866,0.9248922082259362,0.9577762979225902,7.500000000000002,0.0,2.1124244196073168,121.02368421052631
38,53.07000735330674,51.08603307169582,51.66859592094024,18.64626095268508,0.20677931042627568,0.2371526231695969,0.9626159033971323,0.9735931554891865,0.988725011027282,,,0.5087117998610191,87.55806451612905
42,87.06971409418163,85.91194165142862,86.94558054035228,10.298614429013245,0.3084655759768212,0.09014069691163477,0.9867029258704045,0.9985743199559025,0.9881116569410455,4.392857142857144,4.095947474551611,0.07140211929376014,80.03174603174604
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,45.31975504367648,38.26089366616766,39.410685801733656,13.826870173409644,0.466862802455387,0.42482552641994853,0.8442431700986488,0.8696138309607363,0.9708253710338779,,,3.6340857577943186,86.21
75,43.48278240972668,38.08473629411456,38.94015897887438,16.066078395303748,0.41300054727588015,0.37170152320277144,0.8758578495564574,0.8955305254376693,0.9780323782133531,,,5.342879183312883,70.98347107438016
79,14.352035241684874,14.278944208412263,14.298080946956814,7.8567662685261235,0.023093444987352878,0.024093480687023505,0.994907270499147,0.9962406520176768,0.998661586920962,,,0.23120309946694695,102.02702702702706
98,69.92465971984909,67.46142498211796,68.23495953643933,13.427311562954689,0.31307372868923256,0.3235195635330496,0.9647730178795292,0.9758354178600298,0.988663662152415,,,0.3888018476536106,122.8511235955056
103,69.47057648916669,69.30472768072767,69.35190188313149,21.110135783604985,0.19729124783559582,0.1482164005735782,0.9976126755121302,0.9982917284981261,0.9993197850221422,,,0.08953036936474312,74.85227272727273
109,53.96414104473636,50.24611144850405,51.19181356263505,13.618280946218267,0.35246010673038186,0.34582780810504016,0.9311018479261988,0.9486264873593921,0.9815263017987458,,,0.6358019543582042,107.20166320166321
111,41.46485431533213,40.382015174008686,40.67873457544747,21.415490555689118,0.13516063803370187,0.15856759039580895,0.9738853745128666,0.9810412998462174,0.9927057858476779,,,0.4786627696212933,104.27540983606558
120,35.10083602299999,31.607512344006835,32.75436630164888,4.2914636842532605,0.2112670257603118,0.26288175902199024,0.9004774793197479,0.9331506030279855,0.9649862266581445,,,0.7074095224825165,83.25380710659898
136,44.91757938271674,44.002649348533396,44.059105518141585,26.8323930614451,0.17169024122047385,0.14950070230539597,0.9796309140706859,0.9808877976869458,0.9987186265144457,,,0.5605770246547795,116.88983050847456
144,47.96466031376701,47.809760851818474,47.84776200391428,26.72347771328034,0.06379478065684091,0.06610117607720477,0.996770550214778,0.997562824189976,0.9992057903963679,,,0.18766294735764744,122.36102236421725
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,95.76776891265355,94.32906087849258,94.9283040681286,16.9946437462054,0.40445299563154175,0.2580707120204485,0.9849771165132482,0.9912343698296804,0.9936874128794512,3.750000000000001,0.0,0.18349090520221317,122.43111111111112
163,38.680196800945,36.56811603480812,36.95762092698988,11.948160408538852,0.27564615147297095,0.2043470703982025,0.945396328332919,0.9554662070924874,0.9894607693241069,,,0.6048305180857518,90.90155440414507
165,0.12308693983869813,0.0,1.2134995850554036e-16,0.2855766339553942,0.0007128267222951483,0.0022541560194849967,0.0,9.858881751757413e-16,0.0,,,1.2382150561019094,93.85795454545456
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,0.002571053871437699,0.0024933762166508785,0.0024933762166702103,0.011694971101838873,2.4813695279126e-06,1.1900230202950848e-05,0.9697876206913609,0.9697876206988799,0.9999999999922468,,,0.31281106106302814,66.30057803468208
210,32.21979050755389,30.250518778036795,30.85733245431417,10.976381316779356,0.1560877841460785,0.1816404904090945,0.9388800579241693,0.9577136278114443,0.9803348628020327,,,0.6345097567238409,64.89024390243902
224,44.90886401741767,39.339423894603144,41.166759564359474,13.089182549802603,0.29660344762378943,0.3575698267886313,0.8759835002583355,0.9166733664960476,0.9556113794456058,,,0.8484040310336785,113.09684684684684
232,60.22403551648356,59.84017732274815,60.013512392608774,15.320964003500327,0.16683270440269604,0.12818415108222894,0.9936261628693024,0.9965043338250362,0.9971117326257015,15.000000000000004,0.0,0.1596548052514799,79.29770992366412
249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
